time,open,high,low,close
2018-01-19T00:00:00Z,10960,11795,10360,11474.98
2018-01-20T00:00:00Z,11474.98,13099,11412.45,12799.94
2018-01-21T00:00:00Z,12799.8,12799.8,10965,11530
2018-01-22T00:00:00Z,11530,11926.35,9900.24,10760.05
2018-01-23T00:00:00Z,10760.05,11399,9905,10799.18
2018-01-24T00:00:00Z,10799.14,11570.48,10500,11349.99
2018-01-25T00:00:00Z,11349.96,11794.05,10950.21,11175.27
2018-01-26T00:00:00Z,11184.7,11643,10311.15,11089
2018-01-27T00:00:00Z,11089,11650,10842.69,11491
2018-01-28T00:00:00Z,11499.98,12244,11408,11879.95
2018-01-29T00:00:00Z,11879.95,11975.02,11139.55,11251
2018-01-30T00:00:00Z,11250.11,11308.42,9900,10237.51
2018-01-31T00:00:00Z,10230,10425.85,9700,10285.1
2018-02-01T00:00:00Z,10285.1,10335,8750.99,9224.52
2018-02-02T00:00:00Z,9224.52,9250,8010.02,8873.03
2018-02-03T00:00:00Z,8873.03,9473.01,8229,9199.96
2018-02-04T00:00:00Z,9199.96,9368,7930,8184.81
2018-02-05T00:00:00Z,8179.99,8382.8,6625,6939.99
2018-02-06T00:00:00Z,6939.63,7878,6000.01,7652.14
2018-02-07T00:00:00Z,7655.02,8476,7150.01,7599
2018-02-08T00:00:00Z,7599,7844,7572.09,7784.02
2018-02-09T00:00:00Z,7784.02,8738,7784.02,8683.93
2018-02-10T00:00:00Z,8683.92,9065.78,8120,8533.98
2018-02-11T00:00:00Z,8533.99,8549,7726.53,8063.88
2018-02-12T00:00:00Z,8063.82,8989,8053,8903
2018-02-13T00:00:00Z,8903,8950,8351,8539.9
2018-02-14T00:00:00Z,8535.17,9489.6,8533,9449.99
2018-02-15T00:00:00Z,9449.98,10219.5,9301.5,10000.09
2018-02-16T00:00:00Z,10000.89,10323.37,9666,10159.98
2018-02-17T00:00:00Z,10156.07,11075.07,10050,11039.55
2018-02-18T00:00:00Z,11039.55,11274,10080,10383.43
2018-02-19T00:00:00Z,10375.01,11250,10270.33,11153
2018-02-20T00:00:00Z,11147.11,11786.01,11100.59,11200.99
2018-02-21T00:00:00Z,11195.07,11304.03,10200,10437.6
2018-02-22T00:00:00Z,10439.02,10933.44,9679,9811.04
2018-02-23T00:00:00Z,9815.55,10435,9570.19,10131.04
2018-02-24T00:00:00Z,10131.04,10496.97,9352,9694.51
2018-02-25T00:00:00Z,9694.51,9847,9274.8,9590
2018-02-26T00:00:00Z,9590,10444.32,9350,10324
2018-02-27T00:00:00Z,10321,10870,10121,10569.04
2018-02-28T00:00:00Z,10584.33,11098,10300,10326.76
2018-03-01T00:00:00Z,10325.64,11060.41,10240,10920
2018-03-02T00:00:00Z,10923.36,11200,10770,11039
2018-03-03T00:00:00Z,11038.99,11544,11015.01,11464.48
2018-03-04T00:00:00Z,11464.47,11565,11050.02,11515
2018-03-05T00:00:00Z,11515,11710,11415.01,11454
2018-03-06T00:00:00Z,11455,11455,10555.48,10716.48
2018-03-07T00:00:00Z,10716.48,10899,9389.31,9910
2018-03-08T00:00:00Z,9910,10099,9060,9271.64
2018-03-09T00:00:00Z,9267.07,9410,8329,9227
2018-03-10T00:00:00Z,9230,9490,8667.07,8770.22
2018-03-11T00:00:00Z,8770.22,9740,8450,9533.57
2018-03-12T00:00:00Z,9533.57,9888.88,8780,9131.34
2018-03-13T00:00:00Z,9131.34,9474,8823,9150
2018-03-14T00:00:00Z,9151.92,9333.78,7900.28,8170
