Date,sma90 avg_transaction_value,wma30 avg_transaction_value,closing_price,dema7 opening_price,ema90 avg_transaction_value,tema30 highest_price,opening_price,tema7 closing_price,ema30 avg_transaction_value,dema90 avg_transaction_value,next_day_closing_price
2013-04-01,0.0,0.001012529983368704,0.0005608728189373316,0.00037704077363778093,0.0,0.0003136525480421301,0.0003875492707456976,0.0005900064184797271,0.0007501484089882555,0.0,118.0
2013-04-02,8.221522952384791e-05,0.0011852283081348232,0.0007814407814407745,0.00046871572402822775,0.00012357110762822865,0.00040850766695788715,0.0005608436601035327,0.00076877926265502,0.000925442470272396,0.0001797325466146131,135.0
2013-04-03,0.00016850652766231197,0.0013544824645551398,0.0010492733073378183,0.0006212374436249737,0.00024730516531154545,0.0005723585410855186,0.0007814001556498695,0.0010139609572643246,0.0010951679693227273,0.00035776044130635815,132.1
2013-04-04,0.00024780945575043206,0.001498939272255126,0.001003584229390675,0.0008331774836229933,0.000359867935802647,0.0006993074031276109,0.0010492187573847012,0.0011111903713979382,0.001237089235692261,0.0005175536062178646,142.3
2013-04-05,0.00032785518362724725,0.0016433205930886114,0.0011642837449289054,0.0009439563320566072,0.00047361065897901997,0.0008159806422785507,0.0010035320547358145,0.0012423118564597116,0.0013771406050746317,0.0006773883441817154,142.6
2013-04-06,0.0003941182970573637,0.001719976469788555,0.0011690102012682571,0.0010790096543093208,0.0005520057121982842,0.0009124415186901533,0.0011642232157767218,0.0013020990089257986,0.0014426531776503028,0.0007838810234483511,162.3
2013-04-07,0.00043706909685951867,0.001721473790672716,0.001479380834219536,0.0011606415339109333,0.0005912903234218669,0.0010547673065288976,0.0011689494263955671,0.0014987613019602636,0.0014293832152155704,0.0008321287915193966,187.5
2013-04-08,0.0005094221379564577,0.0018291464636605512,0.001876403166725736,0.0013421510255143335,0.0006887269073716125,0.0012631037907657391,0.0014793039237000552,0.001821735516682181,0.001534654386262553,0.0009649701053977347,230.0
2013-04-09,0.0006307319454776153,0.0020686203721691446,0.0025459844814683455,0.0016262394133720048,0.0008589076985460811,0.0015729029568699177,0.0018763056156834573,0.0023689057598652655,0.0017824665010908944,0.0012028236342124417,165.0
2013-04-10,0.000801252990022195,0.0024367219911439076,0.0015219189412737782,0.0020954218185572984,0.0011010827996628184,0.0019150632692335606,0.0025458521200205433,0.0020551521136039017,0.0021653161497404913,0.001543466754206059,124.9
