Feature Name,Feature Importance
sma90 avg_transaction_value,0.18205777132534778
wma30 avg_transaction_value,0.0830255780235127
closing_price,0.06601023610582964
dema7 opening_price,0.058347758359525145
ema90 avg_transaction_value,0.04178351757125916
tema30 highest_price,0.03293062281732809
opening_price,0.030503821089384146
tema7 closing_price,0.028058671664189835
ema30 avg_transaction_value,0.02485941441256543
dema90 avg_transaction_value,0.02474088413075328
tema90 avg_transaction_value,0.02468762949842732
sma90 closing_price,0.016772022577793838
wma7 miner_revenue,0.016756896251127206
bband_lower7 lowest_price,0.016648884913313615
bband_upper30 closing_price,0.016594443488691765
sma90 highest_price,0.016568494073916487
ema90 opening_price,0.01650551737198095
dema90 highest_price,0.01650187709879359
bband_upper30 highest_price,0.016488732745558166
tema30 closing_price,0.016482741758932967
